Titre :;Taux de croissance annuel des crédits aux micro-entreprises - Total
Code série :;BSI1.Q.FR.N.R.A20.A.1.U6.MIC.EUR.A
Unité :;Pourcent par an (PCPA)
Magnitude :;Unités (0)
Méthode d'observation :;Fin de période (E)
Source :;Banque de France (FR2)
T2 2020;15,5
T1 2020;8,76
T4 2019;7,91
T3 2019;8,46
T2 2019;8,4
T1 2019;9,2
T4 2018;9,1
T3 2018;7,9
T2 2018;7,2
T1 2018;4,8
T4 2017;4,9
T3 2017;5
T2 2017;4,2
T1 2017;4,7
T4 2016;3,7
T3 2016;4,1
T2 2016;4,1
T1 2016;4
T4 2015;3,6
T3 2015;3,8
T2 2015;3,3
T1 2015;3
T4 2014;3,3
T3 2014;4,1
