Macrotrends Data Download,,,,
,,,,
France GNI Per Capita 1962-2020,,,,
,,,,
,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,
,,,,
,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,
,,,,
,,,,
, , , ,
date, GNI Per Capita (US $), Annual % Growth, ,
12/31/1962,1550,,,7.34601021
12/31/1963,1700,9.68,,7.43838353
12/31/1964,1870,10,,7.53369371
12/31/1965,2030,8.56,,7.615791072
12/31/1966,2200,8.37,,7.696212639
12/31/1967,2360,7.27,,7.766416898
12/31/1968,2560,8.47,,7.847762537
12/31/1969,2820,10.16,,7.944492164
12/31/1970,3020,7.09,,8.01301211
12/31/1971,3250,7.62,,8.086410275
12/31/1972,3670,12.92,,8.207946941
12/31/1973,4690,27.79,,8.453187861
12/31/1974,5790,23.45,,8.663887571
12/31/1975,6720,16.06,,8.812843434
12/31/1976,7140,6.25,,8.873468055
12/31/1977,7810,9.38,,8.963160243
12/31/1978,8830,13.06,,9.085910294
12/31/1979,10820,22.54,,9.289151552
12/31/1980,13080,20.89,,9.478839625
12/31/1981,13190,0.84,,9.487214246
12/31/1982,12040,-8.72,,9.395989719
12/31/1983,10450,-13.21,,9.254357257
12/31/1984,9820,-6.03,,9.192176401
12/31/1985,9770,-0.51,,9.187071745
12/31/1986,11330,15.97,,9.335209354
12/31/1987,14460,27.63,,9.579141496
12/31/1988,18520,28.08,,9.826606508
12/31/1989,19490,5.24,,9.877656793
12/31/1990,20640,5.9,,9.93498622
12/31/1991,21420,3.78,,9.972080344
12/31/1992,23840,11.3,,10.07912012
12/31/1993,23580,-1.09,,10.06815417
12/31/1994,24380,3.39,,10.1015184
12/31/1995,25740,5.58,,10.15580148
12/31/1996,27110,5.32,,10.20765794
12/31/1997,26930,-0.66,,10.20099619
12/31/1998,25830,-4.08,,10.15929189
12/31/1999,25420,-1.59,,10.14329154
12/31/2000,24970,-1.77,,10.12543038
12/31/2001,23840,-4.53,,10.07912012
12/31/2002,23090,-3.15,,10.0471549
12/31/2003,25930,12.3,,10.16315588
12/31/2004,31360,20.94,,10.35328847
12/31/2005,35870,14.38,,10.48765657
12/31/2006,37850,5.52,,10.54138626
12/31/2007,40130,6.02,,10.59987946
12/31/2008,43460,8.3,,10.67959625
12/31/2009,43930,1.08,,10.69035274
12/31/2010,43850,-0.18,,10.68853
12/31/2011,44350,1.14,,10.69986799
12/31/2012,43380,-2.19,,10.67775378
12/31/2013,43780,0.92,,10.68693237
12/31/2014,43320,-1.05,,10.6763697
12/31/2015,41100,-5.12,,10.6237634
12/31/2016,39070,-4.94,,10.57311019
12/31/2017,38340,-1.87,,10.55424902
12/31/2018,41080,7.15,,10.62327666
12/31/2019,42400,3.21,,10.65490364
