Macrotrends Data Download,,,,
,,,,
Italy GNI Per Capita 1962-2020,,,,
,,,,
,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,
,,,,
,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,
,,,,
,,,,
, , , ,
date, GNI Per Capita (US $), Annual % Growth, ,
12/31/1962,960,,,6.866933284
12/31/1963,1060,10.42,,6.966024187
12/31/1964,1160,9.43,,7.056175284
12/31/1965,1280,10.34,,7.154615357
12/31/1966,1410,10.16,,7.251344983
12/31/1967,1550,9.93,,7.34601021
12/31/1968,1700,9.68,,7.43838353
12/31/1969,1850,8.82,,7.522940918
12/31/1970,2060,11.35,,7.630461262
12/31/1971,2250,9.22,,7.718685495
12/31/1972,2620,16.44,,7.870929597
12/31/1973,3250,24.05,,8.086410275
12/31/1974,3930,20.92,,8.276394705
12/31/1975,4320,9.92,,8.371010681
12/31/1976,4510,4.4,,8.414052432
12/31/1977,4730,4.88,,8.461680481
12/31/1978,5270,11.42,,8.569785642
12/31/1979,6740,27.89,,8.815815204
12/31/1980,8430,25.07,,9.039552051
12/31/1981,8710,3.32,,9.07222707
12/31/1982,8220,-5.63,,9.014325488
12/31/1983,7630,-7.18,,8.939843124
12/31/1984,7760,1.7,,8.956737613
12/31/1985,8030,3.48,,8.990939807
12/31/1986,9380,16.81,,9.146335042
12/31/1987,12160,29.64,,9.405907156
12/31/1988,15950,31.17,,9.677214108
12/31/1989,17300,8.46,,9.75846178
12/31/1990,18660,7.86,,9.834137474
12/31/1991,20370,9.16,,9.921818509
12/31/1992,22960,12.71,,10.04150885
12/31/1993,21590,-5.97,,9.979985524
12/31/1994,20860,-3.38,,9.945588729
12/31/1995,20670,-0.91,,9.936438653
12/31/1996,21830,5.61,,9.99104045
12/31/1997,22300,2.15,,10.01234196
12/31/1998,22220,-0.36,,10.00874806
12/31/1999,21990,-1.04,,9.998343084
12/31/2000,21890,-0.45,,9.993785191
12/31/2001,21170,-3.29,,9.960340364
12/31/2002,20710,-2.17,,9.938371954
12/31/2003,23350,12.75,,10.05835226
12/31/2004,28270,21.07,,10.24955645
12/31/2005,32430,14.72,,10.3868392
12/31/2006,34250,5.61,,10.44144184
12/31/2007,35900,4.82,,10.48849257
12/31/2008,37910,5.6,,10.54297021
12/31/2009,37870,-0.11,,10.54191452
12/31/2010,37850,-0.05,,10.54138626
12/31/2011,37900,0.13,,10.54270639
12/31/2012,36200,-4.49,,10.4968144
12/31/2013,35550,-1.8,,10.47869544
12/31/2014,34890,-1.86,,10.45995553
12/31/2015,32980,-5.47,,10.4036566
12/31/2016,31950,-3.12,,10.37192746
12/31/2017,31360,-1.85,,10.35328847
12/31/2018,33770,7.68,,10.42732811
12/31/2019,34460,2.04,,10.44755451
